capacity_g,country,eff,lat,lon,name_g,type_g
150.0,Albania,0.86,42.103,19.822,KOMANG2,Hydro Water Reservoir
150.0,Albania,0.86,42.103,19.822,KOMANG1,Hydro Water Reservoir
150.0,Albania,0.86,42.103,19.822,KOMANG3,Hydro Water Reservoir
150.0,Albania,0.86,42.103,19.822,KOMANG4,Hydro Water Reservoir
125.0,Albania,0.86,42.251,20.043,FIERZAG1,Hydro Water Reservoir
125.0,Albania,0.86,42.251,20.043,FIERZAG2,Hydro Water Reservoir
125.0,Albania,0.86,42.251,20.043,FIERZAG3,Hydro Water Reservoir
125.0,Albania,0.86,42.251,20.043,FIERZAG4,Hydro Water Reservoir
71.0,Albania,0.86,40.965,20.067,AL-BANJAG2,Hydro Water Reservoir
72.0,Albania,0.86,,,BANJAG,Hydro Water Reservoir
50.0,Albania,0.86,42.014,19.636,VAUDEJG5,Hydro Water Reservoir
50.0,Albania,0.86,42.014,19.636,VAUDEJG1,Hydro Water Reservoir
50.0,Albania,0.86,42.014,19.636,VAUDEJG2,Hydro Water Reservoir
50.0,Albania,0.86,42.014,19.636,VAUDEJG3,Hydro Water Reservoir
50.0,Albania,0.86,42.014,19.636,VAUDEJG4,Hydro Water Reservoir
179.0,Austria,0.86,48.317,14.151,Ottensheim-Wilhering,Hydro Run-of-river and poundage
114.0,Austria,0.62,46.988,13.106,,Hydro Pumped Storage
328.0,Austria,0.86,48.375,15.855,Altenwörth,Hydro Run-of-river and poundage
236.5,Austria,0.86,48.189,15.068,Ybbs-Persenbeug,Hydro Run-of-river and poundage
112.8,Austria,0.62,47.197,12.719,Kaprun-Oberstufe,Hydro Pumped Storage
120.0,Austria,0.62,47.066,13.354,Malta-Oberstufe,Hydro Pumped Storage
168.0,Austria,0.86,48.248,14.431,Abwinden-Asten,Hydro Run-of-river and poundage
107.0,Austria,0.62,47.11,13.434,,Hydro Pumped Storage
172.0,Austria,0.86,48.177,16.481,Freudenau,Hydro Run-of-river and poundage
100.0,Austria,0.86,46.977,13.051,,Hydro Water Reservoir
287.4,Austria,0.86,48.385,14.023,Aschach,Hydro Run-of-river and poundage
200.2,Austria,0.86,47.234,11.9,Gerlos,Hydro Water Reservoir
231.0,Austria,0.62,47.087,11.774,Roßhag,Hydro Pumped Storage
260.0,Austria,0.86,47.199,12.722,Kaprun-Hauptstufe,Hydro Water Reservoir
730.0,Austria,0.62,47.066,13.354,Malta-Hauptstufe,Hydro Pumped Storage
210.0,Austria,0.86,48.167,14.695,Wallsee-Mitterkirchen,Hydro Run-of-river and poundage
480.0,Austria,0.62,47.198,12.72,Limberg II,Hydro Pumped Storage
120.0,Austria,0.86,47.315,13.139,Kaprun-Schwarzach,Hydro Water Reservoir
430.0,Austria,0.62,47.078,13.417,Reisseck 2,Hydro Pumped Storage
140.0,Austria,0.62,47.003,13.059,,Hydro Pumped Storage
355.0,Austria,0.86,47.158,11.85,Mayrhofen,Hydro Water Reservoir
360.0,Austria,0.62,47.146,11.967,Häusling,Hydro Pumped Storage
187.0,Austria,0.86,48.223,15.304,Melk,Hydro Run-of-river and poundage
293.0,Austria,0.86,48.355,16.242,Greifenstein,Hydro Run-of-river and poundage
105.0,Bosnia and Herzegovina,0.86,43.76,19.289,HE_VISEGRAD_G1,Hydro Water Reservoir
105.0,Bosnia and Herzegovina,0.86,43.76,19.289,HE_VISEGRAD_G2,Hydro Water Reservoir
105.0,Bosnia and Herzegovina,0.86,43.76,19.289,HE_VISEGRAD_G3,Hydro Water Reservoir
126.0,Bosnia and Herzegovina,0.86,42.603,18.23,HE_DUBROVNIK_G2,Hydro Water Reservoir
210.0,Bosnia and Herzegovina,0.62,42.936,17.831,HE_CAPLJINA_G1,Hydro Pumped Storage
220.0,Bosnia and Herzegovina,0.62,42.936,17.831,HE_CAPLJINA_G2,Hydro Pumped Storage
230.0,Belgium,0.62,50.385,5.862,COO 4 T,Hydro Pumped Storage
230.0,Belgium,0.62,50.385,5.862,COO 5 T,Hydro Pumped Storage
230.0,Belgium,0.62,50.385,5.862,COO 6 T,Hydro Pumped Storage
147.6,Belgium,1.0,51.556,2.969,Thorntonbank - C-Power - Area NE,Wind Offshore
177.6,Belgium,1.0,51.54,2.921,Thorntonbank - C-Power - Area SW,Wind Offshore
158.0,Belgium,0.62,50.393,5.869,COO 1 T,Hydro Pumped Storage
158.0,Belgium,0.62,50.385,5.862,COO 2 T,Hydro Pumped Storage
158.0,Belgium,0.62,50.385,5.862,COO 3 T,Hydro Pumped Storage
165.0,Belgium,1.0,51.527,3.014,Nobelwind Offshore Windpark,Wind Offshore
171.0,Belgium,1.0,51.66,2.8,Belwind Phase 1,Wind Offshore
216.0,Belgium,1.0,51.619,2.9,Northwind,Wind Offshore
144.0,Belgium,0.62,50.188,4.386,PLATE-TAILLE T,Hydro Pumped Storage
375.0,Bulgaria,0.86,42.161,23.802,,Hydro Water Reservoir
240.0,Bulgaria,0.86,42.216,23.921,,Hydro Water Reservoir
160.0,Bulgaria,0.86,41.94,24.447,,Hydro Water Reservoir
135.0,Bulgaria,0.86,42.03,24.299,,Hydro Water Reservoir
120.0,Bulgaria,0.86,42.232,23.949,,Hydro Water Reservoir
227.0,Bulgaria,0.62,42.16,23.861,PSHPP_CHAIRA_GP1,Hydro Pumped Storage
227.0,Bulgaria,0.62,42.16,23.861,PSHPP_CHAIRA_GP2,Hydro Pumped Storage
227.0,Bulgaria,0.62,42.16,23.861,PSHPP_CHAIRA_GP4,Hydro Pumped Storage
227.0,Bulgaria,0.62,42.16,23.861,PSHPP_CHAIRA_GP3,Hydro Pumped Storage
156.0,Bulgaria,1.0,43.457,28.451,,Wind Onshore
110.0,Bulgaria,0.86,41.634,25.378,,Hydro Water Reservoir
114.0,Bulgaria,0.86,41.527,26.124,,Hydro Water Reservoir
250.0,Switzerland,0.62,46.876,8.987,Limmern - Muttsee G1,Hydro Pumped Storage
141.0,Switzerland,0.62,46.876,8.987,Tierfehd - Limmern GPSW,Hydro Pumped Storage
250.0,Switzerland,0.62,46.876,8.987,Limmern - Muttsee G4,Hydro Pumped Storage
250.0,Switzerland,0.62,46.876,8.987,Limmern - Muttsee G2,Hydro Pumped Storage
250.0,Switzerland,0.62,46.876,8.987,Limmern - Muttsee G3,Hydro Pumped Storage
258.0,Switzerland,0.86,46.765,9.418,,Hydro Water Reservoir
334.8,Switzerland,0.86,46.752,9.046,,Hydro Water Reservoir
340.0,Switzerland,0.86,46.334,8.008,Kraftwerk Bitsch,Hydro Water Reservoir
640.0,Switzerland,0.62,46.533,9.2,,Hydro Pumped Storage
421.0,Switzerland,0.86,46.183,7.252,Stufe FMM Produktion Total,Hydro Water Reservoir
123.0,Switzerland,0.86,46.176,8.684,Centrale di Verbano,Hydro Water Reservoir
108.0,Switzerland,0.86,46.35,8.6,Centrale di Cavergno,Hydro Water Reservoir
176.0,Switzerland,0.86,46.464,8.546,Centrale di Robiei,Hydro Water Reservoir
140.0,Switzerland,0.86,46.401,8.551,Centrale di Bavona,Hydro Water Reservoir
120.0,Switzerland,0.86,46.768,8.671,Amsteg,Hydro Run-of-river and poundage
